ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Empty Pricebook Name blocks Save,,,,,Automated,Omeesha Mahanta,,,An empty name blocks Save (Name is mandatory),,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Year and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Leave the Pricebook Name empty.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name field remains empty.
2. An empty name blocks Save (Name is mandatory)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Whitespace-only Pricebook Name is treated as empty (blocks Save),,,,,Automated,Omeesha Mahanta,,,A whitespace-only name is treated as empty and blocks Save,,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Year and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: "" """,Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter only spaces ("" "") as the Pricebook Name.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name field contains only the space characters entered.
2. A whitespace-only name is treated as empty and blocks Save",,,,Master,S1620,Test Case (Steps),Regression,,,
,Empty Price Year blocks Save,,,,,Automated,Omeesha Mahanta,,,An empty Price Year blocks Save (Year is required),,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Name and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Leave the Price Year empty.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The Price Year field remains empty.
2. An empty Price Year blocks Save (Year is required)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Non-numeric Price Year input is rejected,,,,,Automated,Omeesha Mahanta,,,The Price Year input does not accept alphabetic characters,,,corporate-pricing,,"On the Equipment New Pricebook page; Price Year holds a valid value

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""abcd""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Attempt to enter alphabetic text (""abcd"") into Price Year</li>
</ol>",,,1. The Price Year input does not accept alphabetic characters,,,,Master,S1620,Test Case (Steps),Regression,,,
,Valid Price Year keeps the form savable (decimal/short not blocked),,,,,Automated,Omeesha Mahanta,,,A valid 4-digit year keeps the form savable; the page does not block a decimal or short year,,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Name and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2026""
Sample input 2: ""20.5""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter ""2026"" and observe the Save button.</li>
<li>2. Enter a decimal ""20.5"" and observe the Save button</li>
</ol>",,,"1. Entering the valid year 2026 completes the required fields and the Save button becomes enabled.
2. A valid 4-digit year keeps the form savable; the page does not block a decimal or short year",,,,Master,S1620,Test Case (Steps),Regression,,,
,"New Pricing Strategy opens the add dialog (Name + flags, no Type field)",,,,,Automated,Omeesha Mahanta,,,"The add dialog presents a Strategy Name and the four flag toggles (there is no separate ""Type"" selection in the dialog)",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Strategy tab

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""New Pricing Strategy""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click ""New Pricing Strategy"".</li>
<li>2. Inspect the dialog</li>
</ol>",,,"1. The New Pricing Strategy dialog opens.
2. The add dialog presents a Strategy Name and the four flag toggles (there is no separate ""Type"" selection in the dialog)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Strategy dialog defaults - Is Active checked,,,,,Automated,Omeesha Mahanta,,,"The dialog defaults to Is Active checked, the other flags unchecked",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Strategy tab

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the New Pricing Strategy dialog.</li>
<li>2. Read the flag states</li>
</ol>",,,"1. The New Pricing Strategy dialog opens and displays its flag toggles.
2. The dialog defaults to Is Active checked, the other flags unchecked",,,,Master,S1620,Test Case (Steps),Regression,,,
,Adding a strategy appends it to the list,,,,,Automated,Omeesha Mahanta,,,"Adding a strategy via the dialog appends it (Total goes from 0 to 1, empty state cleared)",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Strategy tab, zero strategies (""No strategies yet"", Total: 0)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the dialog, enter a Strategy Name, click ""Add"".</li>
<li>2. Read the strategy list</li>
</ol>",,,"1. The dialog closes and the new strategy is added to the list.
2. Adding a strategy via the dialog appends it (Total goes from 0 to 1, empty state cleared)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Adding a second strategy lists both,,,,,Automated,Omeesha Mahanta,,,A second strategy appends to the list (Total becomes 2),,,corporate-pricing,,"On the Equipment New Pricebook page with one strategy already added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Add a second strategy via the dialog.</li>
<li>2. Read the count</li>
</ol>",,,"1. The dialog closes and the second strategy is added to the list.
2. A second strategy appends to the list (Total becomes 2)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Add with an empty Strategy Name does nothing,,,,,Automated,Omeesha Mahanta,,,"While the Strategy Name is empty, the Add button is disabled (the empty-name guard) - no strategy can be added and the dialog stays open",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Strategy tab, the dialog open with an empty Strategy Name

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the New Pricing Strategy dialog and leave the Strategy Name empty.</li>
<li>2. Observe the Add button</li>
</ol>",,,"1. The New Pricing Strategy dialog remains open with the Strategy Name field empty.
2. While the Strategy Name is empty, the Add button is disabled (the empty-name guard) - no strategy can be added and the dialog stays open",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save is disabled on the empty create form,,,,,Automated,Omeesha Mahanta,,,Save is disabled on the empty form,,,corporate-pricing,,"On a freshly-loaded Equipment New Pricebook page (nothing entered)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page and leave all fields empty.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The create page loads with all fields empty and no strategies added.
2. Save is disabled on the empty form",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save stays disabled without a strategy (≥1 strategy required),,,,,Automated,Omeesha Mahanta,,,Save stays disabled until at least one pricing strategy is added (a strategy is required to save),,,corporate-pricing,,"On the Equipment New Pricebook page with Name + Year filled and zero strategies

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter a valid Name and Year.</li>
<li>2. Add no strategy.</li>
<li>3. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name and Price Year fields hold the entered valid values.
2. The strategy list remains empty with zero strategies added.
3. Save stays disabled until at least one pricing strategy is added (a strategy is required to save)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save enables with Name + Year + one strategy and no product groups,,,,,Automated,Omeesha Mahanta,,,"With a Name, a Year, and at least one strategy - and zero product groups - Save is enabled (saving with no product groups is permitted)",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter a valid Name and Year.</li>
<li>2. Add one strategy.</li>
<li>3. Add no product groups.</li>
<li>4. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name and Price Year fields hold the entered valid values.
2. The strategy list shows one added strategy (Total: 1).
3. The Pricing Detail grid remains empty with zero product groups added.
4. With a Name, a Year, and at least one strategy - and zero product groups - Save is enabled (saving with no product groups is permitted)",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Save opens the confirmation dialog, and Cancel aborts without committing",,,,,Automated,Omeesha Mahanta,,,"Clicking Save opens the ""Save Changes"" confirmation dialog, and Cancel closes it without saving. The test intentionally stops at the confirmation step and does not complete the save, because a created pricebook cannot be removed through the UI (so confirming would leave a permanent record)",,,corporate-pricing,,"On the Equipment New Pricebook page with a savable form (Name + Year + one strategy)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click the enabled Save button.</li>
<li>2. Click ""Cancel"" in the confirmation dialog that appears</li>
</ol>",,,"1. The ""Save Changes"" confirmation dialog appears.
2. Clicking Save opens the ""Save Changes"" confirmation dialog, and Cancel closes it without saving. The test intentionally stops at the confirmation step and does not complete the save, because a created pricebook cannot be removed through the UI (so confirming would leave a permanent record)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricing Detail tab shows the Product Groups source list (Equipment catalog),,,,,Automated,Omeesha Mahanta,,,"The Pricing Detail tab in create mode shows the Equipment product-group source list (assert presence / > 0, never an exact count)",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricing Detail""
Sample input 2: ""Product Groups""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click the ""Pricing Detail"" tab.</li>
<li>2. Read the left ""Product Groups"" source list</li>
</ol>",,,"1. The Pricing Detail tab becomes active and its content is displayed.
2. The Pricing Detail tab in create mode shows the Equipment product-group source list (assert presence / > 0, never an exact count)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Double-clicking a product group adds it to the pricebook grid,,,,,Automated,Omeesha Mahanta,,,Double-clicking a product group in the source list adds it to the new pricebook's grid with a starting price of 0.00,,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab, empty pricebook grid

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Balloon Light Decor""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Double-click a known product group in the source list (e.g. ""Balloon Light Decor"").</li>
<li>2. Read the grid</li>
</ol>",,,"1. The double-clicked product group is added to the pricebook grid.
2. Double-clicking a product group in the source list adds it to the new pricebook's grid with a starting price of 0.00",,,,Master,S1620,Test Case (Steps),Regression,,,
,Adding multiple product groups appends rows,,,,,Automated,Omeesha Mahanta,,,Each double-click appends a distinct product-group row,,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Double-click a first product group.</li>
<li>2. Double-click a second, different product group.</li>
<li>3. Read the grid by content</li>
</ol>",,,"1. The first product group is added to the pricebook grid.
2. The second product group appends as a new row in the pricebook grid.
3. Each double-click appends a distinct product-group row",,,,Master,S1620,Test Case (Steps),Regression,,,
,New Pricebook (Labor) create page loads with Type read-only as Labor,,,,,Automated,Omeesha Mahanta,,,"The Labor create page loads from ?type=labor (the Labor Pricing option of the + New menu); Type shows ""Labor"" and is read-only",,,corporate-pricing,,"Authenticated on office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Navigate to the New Pricebook create page with the Labor type route param.</li>
<li>2. Read the Type control</li>
</ol>",,,"1. The New Pricebook create page loads with the Labor type parameter applied in the URL.
2. The Labor create page loads from ?type=labor (the Labor Pricing option of the + New menu); Type shows ""Labor"" and is read-only",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor flow header parity + Save gating,,,,,Automated,Omeesha Mahanta,,,"The Labor flow mirrors Equipment (same header fields, USD default, strategy dialog) and gates Save identically (Name + Year + ≥1 strategy)",,,corporate-pricing,,"On the Labor New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Read the header.</li>
<li>2. Verify Save is disabled initially.</li>
<li>3. Enter Name + Year + add a strategy via the dialog</li>
</ol>",,,"1. The header renders the Pricebook Name, Price Year, Currency, and Type fields.
2. The Save button is disabled on the initial load.
3. The Labor flow mirrors Equipment (same header fields, USD default, strategy dialog) and gates Save identically (Name + Year + ≥1 strategy)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor Pricing Detail shows a Labor-specific product-group catalog,,,,,Automated,Omeesha Mahanta,,,"The Labor Pricing Detail source list contains Labor/service product groups (a different catalog than Equipment) - the ?type= route param selects the catalog. Assert by content/> 0, never exact count",,,corporate-pricing,,"On the Labor New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricing Detail""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click the ""Pricing Detail"" tab.</li>
<li>2. Read the Product Groups source list</li>
</ol>",,,"1. The Pricing Detail tab becomes active and displays the Labor product-group source list.
2. The Labor Pricing Detail source list contains Labor/service product groups (a different catalog than Equipment) - the ?type= route param selects the catalog. Assert by content/> 0, never exact count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Saving a new pricebook persists it - created book reloads + is found by Search with its product group,,,,,Automated,Omeesha Mahanta,,,"The commit redirects to /details/<new-guid> (the record now exists). On reload of the new book's Pricing Detail tab, the added product group (Balloon Light Decor) is still present (content-based, never a count). The new book is discoverable by its unique name on the Search screen. If this ever fails on ""can't add"", the likely cause is the unique source product groups have been used up (the UI has no delete to recycle them) - escalate then, not pre-emptively",,,corporate-pricing,,"On the Equipment New Pricebook page (office 1604). This environment is single-tenant (ours), so committing a real pricebook is accepted (user-authorized). A created pricebook is irreversible via the UI (no delete/deactivate), so this test leaves a permanent record by design

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Save Changes""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Build a savable, non-empty pricebook: enter a unique Pricebook Name (fixed prefix + a passed-in run-stamp from the pricebook run stamp env var, falling back to the test-runner pid - never a clock/random value), enter a Price Year, add one strategy via the dialog, switch to the Pricing Detail tab and add one product group (Balloon Light Decor).</li>
<li>2. Confirm Save is enabled, click Save, and confirm the ""Save Changes"" dialog (COMMIT).</li>
<li>3. After the commit redirects to the new pricebook's Details page, reload that Details page and read the Pricing Detail grid.</li>
<li>4. Open the Corporate Pricing Search screen, turn Active-Only off, filter by the unique name, and Search</li>
</ol>",,,"1. The form now holds a unique Pricebook Name, a valid Price Year, one strategy, and one added product group, making it ready to save.
2. Confirming the ""Save Changes"" dialog commits the pricebook and redirects to its new Details page.
3. The reloaded Details page displays the Pricing Detail grid with the previously added product group still present.
4. The commit redirects to /details/<new-guid> (the record now exists). On reload of the new book's Pricing Detail tab, the added product group (Balloon Light Decor) is still present (content-based, never a count). The new book is discoverable by its unique name on the Search screen. If this ever fails on ""can't add"", the likely cause is the unique source product groups have been used up (the UI has no delete to recycle them) - escalate then, not pre-emptively",,,,Master,S1620,Test Case (Steps),Regression,,,
,Dragging a product group (real pointer sequence) adds it to the create grid,,,,,Automated,Omeesha Mahanta,,,The dragged product group (Balloon Light Decor) is added to the new pricebook's grid. This is the create-mode drag baseline check - it proves the drag interaction works when adding is allowed (the same interaction proves no-add in the management-mode Detail tab),,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab, empty pricebook grid

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Drag a known product group from the source list onto the pricebook grid using a real full pointer sequence - move to the source, press, move across in steps, then release.</li>
<li>2. Read the grid by content</li>
</ol>",,,"1. Releasing the drag adds the product group as a new row in the pricebook grid.
2. The dragged product group (Balloon Light Decor) is added to the new pricebook's grid. This is the create-mode drag baseline check - it proves the drag interaction works when adding is allowed (the same interaction proves no-add in the management-mode Detail tab)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Drag-add -> edit New Price + Max Discount (keyboard) -> Save reachable (NO-COMMIT),,,,,Automated,Omeesha Mahanta,,,The drag-added row lands in the grid; with a complete header the form is savable; clicking Save opens the confirmation dialog and Cancel aborts without committing (NO-COMMIT - a created pricebook is irreversible). New Price / Max Discount on a freshly-added create row start at 0.00 and are editable by keyboard (cell-level edit is covered by the Pricing Detail band TC-CPR-DET-*; the New-Pricebook angle here is the drag-add -> savable path),,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Name + Year + one strategy already set

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Save Changes""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. On the Pricing Detail tab, drag a product group onto the grid (real pointer sequence).</li>
<li>2. Confirm the dragged row landed in the grid.</li>
<li>3. Confirm Save is enabled (Name + Year + ≥1 strategy + the added group).</li>
<li>4. Click Save, then Cancel the ""Save Changes"" dialog</li>
</ol>",,,"1. The dragged product group drops into the pricebook grid as a new row.
2. The newly dragged row remains visible in the grid on inspection.
3. The Save button is enabled.
4. The drag-added row lands in the grid; with a complete header the form is savable; clicking Save opens the confirmation dialog and Cancel aborts without committing (NO-COMMIT - a created pricebook is irreversible). New Price / Max Discount on a freshly-added create row start at 0.00 and are editable by keyboard (cell-level edit is covered by the Pricing Detail band TC-CPR-DET-*; the New-Pricebook angle here is the drag-add -> savable path)",,,,Master,S1620,Test Case (Steps),Regression,,,
,New ▾ menu presents Equipment Pricing + Labor Pricing items,,,,,Automated,Omeesha Mahanta,,,"The New ▾ menu opens and presents exactly two items - ""Equipment Pricing"" and ""Labor Pricing"" (the two New-Pricebook create routes), driven via a real dropdown interaction (not a URL)",,,corporate-pricing,,"On the Corporate Pricing Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""New""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click the toolbar ""New"" split-button to open its dropdown menu.</li>
<li>2. Read the menu items</li>
</ol>",,,"1. The New ▾ dropdown menu opens.
2. The New ▾ menu opens and presents exactly two items - ""Equipment Pricing"" and ""Labor Pricing"" (the two New-Pricebook create routes), driven via a real dropdown interaction (not a URL)",,,,Master,S1620,Test Case (Steps),Regression,,,
,New ▾ -> Equipment Pricing navigates to the Equipment create route,,,,,Automated,Omeesha Mahanta,,,"Selecting ""Equipment Pricing"" from the New ▾ menu navigates to the Equipment New Pricebook create page (add?type=equipment) - driven by the menu-item click, not by typing the URL",,,corporate-pricing,,"On the Corporate Pricing Search screen

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Equipment Pricing""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the New ▾ menu.</li>
<li>2. Click ""Equipment Pricing""</li>
</ol>",,,"1. The New ▾ dropdown menu opens and displays its menu items.
2. Selecting ""Equipment Pricing"" from the New ▾ menu navigates to the Equipment New Pricebook create page (add?type=equipment) - driven by the menu-item click, not by typing the URL",,,,Master,S1620,Test Case (Steps),Regression,,,
